RBP,CS_K562,CVS_K562,CS_HepG2,CVS_HepG2,S5_CS_existing,S5_CVS_existing,K562_flag,HepG2_flag,merge_status
SUCLG1,,,,,,,No,No,
SUGP2,,,2.2484,0.2658,2.2484,0.2658,No,Yes,HepG2_only
SUPV3L1,1.9736,0.4189,2.0285,0.2738,2.9392,0.5142,Yes,Yes,merged
TAF15,2.8874,0.3762,1.8181,0.2401,2.2385,0.3082,Yes,Yes,merged
TARDBP,11.4135,0.8279,21.7727,0.8708,14.929,0.8491,Yes,Yes,merged
TBRG4,4.198,0.6043,3.1486,0.5037,3.103,0.5352,Yes,Yes,merged
TDRD10,,,,,,,No,No,
TIA1,4.9075,0.4566,8.9947,0.6224,6.372,0.5395,Yes,Yes,merged
TIAL1,,,7.8023,0.5434,7.8023,0.5434,No,Yes,HepG2_only
TRA2A,3.8131,0.5804,4.8325,0.6502,4.2618,0.6153,Yes,Yes,merged
TRA2B,,,,,,,No,No,
TRNAU1AP,,,,,,,No,No,
TROVE2,5.5749,0.7208,3.2843,0.6611,4.6122,0.715,Yes,Yes,merged
U2AF1,6.5088,0.6612,3.5298,0.5386,4.5713,0.5999,Yes,Yes,merged
U2AF2,5.2839,0.5873,3.3445,0.4046,4.094,0.496,Yes,Yes,merged
UCHL5,2.4841,0.4275,1.885,0.3555,2.1437,0.3915,Yes,Yes,merged
UNK,,,,,,,No,No,
UPF1,8.7551,0.635,2.5573,0.386,4.5672,0.6208,Yes,Yes,merged
UTP18,2.3217,0.4381,1.8802,0.3907,1.8902,0.36,Yes,Yes,merged
UTP3,2.4576,0.5346,,,2.4576,0.5346,Yes,No,K562_only
WDR3,1.8526,0.3389,,,1.8526,0.3389,Yes,No,K562_only
WDR43,2.7984,0.4719,1.9353,0.3276,2.2935,0.4,Yes,Yes,merged
WRN,1.7225,0.2892,,,1.7225,0.2892,Yes,No,K562_only
XPO5,,,3.0211,0.5665,3.0211,0.5665,No,Yes,HepG2_only
XRCC6,2.1934,0.3367,1.6295,0.3268,1.7665,0.2954,Yes,Yes,merged
XRN2,3.1605,0.3764,3.9846,0.4242,3.5256,0.3998,Yes,Yes,merged
YBX3,1.6714,0.2926,3.7347,0.6066,2.2444,0.4242,Yes,Yes,merged
YWHAG,1.9983,0.2923,,,1.9983,0.2923,Yes,No,K562_only
ZC3H10,,,,,,,No,No,
ZC3H11A,10.1246,0.6427,3.0347,0.3844,4.592,0.4357,Yes,Yes,merged
ZC3H18,,,,,,,No,No,
ZC3H8,2.8304,0.4983,,,2.8304,0.4983,Yes,No,K562_only
ZCRB1,,,,,,,No,No,
ZFP36,,,,,,,No,No,
ZFP36L1,,,,,,,No,No,
ZFP36L2,,,,,,,No,No,
ZNF326,,,,,,,No,No,
ZNF622,2.5365,0.4478,,,2.5365,0.4478,Yes,No,K562_only
ZNF800,2.7498,0.4829,2.0874,0.4004,2.3746,0.4417,Yes,Yes,merged
ZRANB2,4.4518,0.6267,,,4.4518,0.6267,Yes,No,K562_only
